name,dtype,status,selected,n_bins,woe,quality_score
FFM_VOR_COM_MMAX_A_Y,categorical,OPTIMAL,True,4,365.1574474390583,0.00028791737734011597
FXI3SAB_VOR_COM_MM_A_Y,categorical,OPTIMAL,True,2,262.16938226703155,0.05971293717629773
FXI3SAB_VOR_COM_MMAX_A_Y,categorical,OPTIMAL,True,2,262.22983116545146,0.05995312676123859
NBJRR50_MM_A,categorical,OPTIMAL,True,3,636.6223044840038,0.17599475330479977
NBJRR50_MMAX_A,categorical,OPTIMAL,True,4,685.2739990995025,0.02805099877669615
NBJRR50_MSOM_A,categorical,OPTIMAL,True,3,636.6223044840038,0.17599475330479977
NBJRR1_MM_A,categorical,OPTIMAL,True,4,597.642835902544,0.0005430887385530652
NBJRR1_MMAX_A,categorical,OPTIMAL,True,4,624.6545631732818,0.027857754076081084
NBJRR1_MSOM_A,categorical,OPTIMAL,True,4,597.642835902544,0.0005430887385530652
NBJRR5_MM_A,categorical,OPTIMAL,True,4,718.4565241328048,0.000842014985286911
NBJRR5_MMAX_A,categorical,OPTIMAL,True,4,786.6027880161483,0.050665694947546955
NBJRR5_MSOM_A,categorical,OPTIMAL,True,4,718.4565241328048,0.000842014985286911
NBJRR10_MM_A,categorical,OPTIMAL,True,4,893.3149857100941,0.17902417326372264
NBJRR10_MMAX_A,categorical,OPTIMAL,True,4,846.0631633596961,0.02621615290791965
NBJRR10_MSOM_A,categorical,OPTIMAL,True,4,893.3149857100941,0.17902417326372264
NBJRR30_MM_A,categorical,OPTIMAL,True,4,766.4051799584865,0.0004209426912854695
NBJRR30_MMAX_A,categorical,OPTIMAL,True,3,689.5617103452423,0.47830109163514145
NBJRR30_MSOM_A,categorical,OPTIMAL,True,4,766.4051799584865,0.0004209426912854695
NBJRR100_MM_A,categorical,OPTIMAL,True,2,503.89509320836464,0.44402164680640027
